Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,,60000000,Spain,Spain,2000
Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,,25000000,Spain,Spain,2000
James Rodríguez,Attacking Midfield,23,Monaco,Ligue 1,Real Madrid,LaLiga,2014-2015,60000000.0,75000000,France,Spain,2014
Raúl Albiol,Centre-Back,23,Valencia CF,LaLiga,Real Madrid,LaLiga,2009-2010,9000000.0,15000000,Spain,Spain,2009
Santiago Solari,Left Midfield,23,Atlético Madrid,LaLiga2,Real Madrid,LaLiga,2000-2001,,3500000,Spain,Spain,2000
Daniel Carvajal,Right-Back,21,Bay. Leverkusen,1.Bundesliga,Real Madrid,LaLiga,2013-2014,10000000.0,6500000,Germany,Spain,2013
Arjen Robben,Right Winger,23,Chelsea,Premier League,Real Madrid,LaLiga,2007-2008,22800000.0,35000000,England,Spain,2007
Ricardo Carvalho,Centre-Back,32,Chelsea,Premier League,Real Madrid,LaLiga,2010-2011,17500000.0,8000000,England,Spain,2010
Ronaldo,Centre-Forward,25,Inter,Serie A,Real Madrid,LaLiga,2002-2003,,45000000,Italy,Spain,2002
Mateo Kovacic,Central Midfield,21,Inter,Serie A,Real Madrid,LaLiga,2015-2016,22000000.0,31000000,Italy,Spain,2015
Pepe,Centre-Back,24,FC Porto,Liga NOS,Real Madrid,LaLiga,2007-2008,30000000.0,30000000,Portugal,Spain,2007
Danilo,Right-Back,23,FC Porto,Liga NOS,Real Madrid,LaLiga,2015-2016,25000000.0,31500000,Portugal,Spain,2015
Ángel Di María,Right Winger,22,Benfica,Liga NOS,Real Madrid,LaLiga,2010-2011,9500000.0,33000000,Portugal,Spain,2010
Fábio Coentrão,Left-Back,23,Benfica,Liga NOS,Real Madrid,LaLiga,2011-2012,24000000.0,30000000,Portugal,Spain,2011
Thomas Gravesen,Defensive Midfield,28,Everton,Premier League,Real Madrid,LaLiga,2004-2005,6000000.0,3400000,England,Spain,2004
Isco,Attacking Midfield,21,Málaga CF,LaLiga,Real Madrid,LaLiga,2013-2014,25000000.0,30000000,Spain,Spain,2013
Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Real Madrid,LaLiga,2000-2001,,14000000,Spain,Spain,2000
Wesley Sneijder,Attacking Midfield,23,AFC Ajax,Eredivisie,Real Madrid,LaLiga,2007-2008,16000000.0,27000000,Nederlands,Spain,2007
Klaas-Jan Huntelaar,Centre-Forward,25,AFC Ajax,Eredivisie,Real Madrid,LaLiga,2008-2009,20000000.0,27000000,Nederlands,Spain,2008
Pedro Munitis,Second Striker,25,Racing,LaLiga,Real Madrid,LaLiga,2000-2001,,10500000,Spain,Spain,2000
Ezequiel Garay,Centre-Back,21,Racing,LaLiga,Real Madrid,LaLiga,2008-2009,10000000.0,10000000,Spain,Spain,2008
Sergio Canales,Attacking Midfield,19,Racing,LaLiga,Real Madrid,LaLiga,2010-2011,6000000.0,6000000,Spain,Spain,2010
Royston Drenthe,Left Midfield,20,Feyenoord,Eredivisie,Real Madrid,LaLiga,2007-2008,13000000.0,14000000,Nederlands,Spain,2007
Zinédine Zidane,Attacking Midfield,29,Juventus,Serie A,Real Madrid,LaLiga,2001-2002,,77500000,Italy,Spain,2001
Álvaro Morata,Centre-Forward,23,Juventus,Serie A,Real Madrid,LaLiga,2016-2017,30000000.0,30000000,Italy,Spain,2016
Michael Owen,Centre-Forward,24,Liverpool,Premier League,Real Madrid,LaLiga,2004-2005,,12000000,England,Spain,2004
Xabi Alonso,Defensive Midfield,27,Liverpool,Premier League,Real Madrid,LaLiga,2009-2010,27000000.0,34500000,England,Spain,2009
Álvaro Arbeloa,Right-Back,26,Liverpool,Premier League,Real Madrid,LaLiga,2009-2010,11000000.0,4000000,England,Spain,2009
César Sánchez,Goalkeeper,28,Real Valladolid,LaLiga,Real Madrid,LaLiga,2000-2001,,6250000,Spain,Spain,2000
Jonathan Woodgate,Centre-Back,24,Newcastle,Premier League,Real Madrid,LaLiga,2004-2005,,18300000,England,Spain,2004
Kaká,Attacking Midfield,27,AC Milan,Serie A,Real Madrid,LaLiga,2009-2010,55000000.0,65000000,Italy,Spain,2009
Rafael van der Vaart,Attacking Midfield,25,Hamburger SV,1.Bundesliga,Real Madrid,LaLiga,2008-2009,23000000.0,15000000,Germany,Spain,2008
