Country;Continent
Spain;Europe
France;Europe
Scotland;Europe
Portugal;Europe
England;Europe
Germany;Europe
Italy;Europe
Ukraine;Europe
Brazil;America
Mexico;America
Russia;Europe
Turkey;Asia
Nederlands;Europe
Greece;Europe
Qatar;Arabic
United Arab Emirates;Arabic
Japan;Asia
China;Asia
Argentina;America
Saudi Arabia;Arabic
Belgium;Europe
United States;America
Denmark;Europe
Croatia;Europe
Israel;Asia
Korea, South;Asia
Switzerland;Europe
Sweden;Europe
Libya;Africa
Wales;Europe
Venezuela;America
Czech Republic;Europe
Bulgaria;Europe
Romania;Europe
Egpty;Africa
Serbia;Europe
Poland;Europe
Uruguay;America
Chile;America
Paraguay;America
Canada;America
Belarus;Europe
South Africa;Africa
Hungary;Europe
Colombia;America
Slovakia;Europe
South Korea;Asia
Ecuador;America
Australia;Oceania
Iran;Asia
Moldova;Europe
Costa Rica;America
Latvia;Europe
Peru;America
Tunisia;Africa
Finland;Europe
Ghana;Africa
Norway;Europe
